Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1619,UNION BETHEL AME CHURCH,,BRANDYWINE,MD,20613,6810 FLORAL PARK RD,,Food Establishments,POINT (-76.888892 38.706377),9221,19.520435302907163
1620,UNION BETHEL INTERGENERATIONAL CENTER,,TEMPLE HILLS,MD,20748,3231 BRINKLEY RD,,Food Establishments,POINT (-76.95103 38.803505),15817,12.588088904147504
1621,SARDIS POLLO ALA BRASA,Fast Food,MITCHELLVILLE,MD,20716,4001 TOWN CENTER BLVD,,Food Establishments,POINT (-76.734259 38.945067),16438,11.69761435944017
1622,UPTOWN CAFE,Carry-out,BOWIE,MD,20715,16701 MELFORD BLVD,121,Food Establishments,POINT (-76.713647 38.962006),16435,12.570231383200504
1623,UPTOWN GRILL,Carry-out,GREENBELT,MD,20770,7501 GREENWAY CENTER DR,,Food Establishments,POINT (-76.88028 38.991221),16242,3.507043887906396
1624,VETERAN OF FOREIGN WARS 8950,,LANHAM-SEABROOK,MD,20706,9800 GOOD LUCK RD,,Food Establishments,POINT (-76.840612 38.984492),15994,5.624724907319587
1625,VFW POST 9619,Private Club,SUITLAND,MD,20746,6527 SUITLAND RD,,Food Establishments,POINT (-76.893107 38.826838),15577,11.326220485207834
1627,VIETNAM ONE,Full Service,BELTSVILLE,MD,20705,11000 BALTIMORE AVE,105,Food Establishments,POINT (-76.908657 39.033967),15750,3.8496356422068727
1628,CAFE RUE,,BELTSVILLE,MD,20705,11120 BALTIMORE AVE,,Food Establishments,POINT (-76.906881 39.035195),15750,3.9713903211256087
1629,VILLA PIZZA,Full Service,BOWIE,MD,20716,3864 TOWN CENTER BLVD,,Food Establishments,POINT (-76.73403 38.943797),16438,11.731080588766464
1630,VILLA ROSA NURSING AND REHABILITATION CENTER LLC,Health Care Facility,MITCHELLVILLE,MD,20721,3800 LOTTSFORD VISTA RD,,Food Establishments,POINT (-76.82463 38.942083),17158,7.15686583040368
1632,VITTORIO'S DELI,,GREENBELT,MD,20770,6303 IVY LN,120,Food Establishments,POINT (-76.897494 39.008708),16242,3.004469003799871
1633,VOCELLI PIZZA,Carry-out,BOWIE,MD,20720,4861 GLENN DALE RD,,Food Establishments,POINT (-76.812885 38.954462),16440,7.441812914752873
1634,WAH LOCK,Full Service,TAKOMA PARK,MD,20912,6505 NEW HAMPSHIRE AVE,,Food Establishments,POINT (-76.999905 38.969026),10889,3.17454304497377
